BODEGA (COMERCIAL/INDUSTRIAL),CODIGO,LOTE,PRECIO1,PRECIO2,IVA(12/0/EX/NO)
COMERCIAL,7861028800002.0000.0000,ALMOHADA FIRME 35X22cm,2.75,0,0
COMERCIAL,7861028800019.0000.0000,ALMOHADA FIRME 28X28cm,2.7321,0,0
COMERCIAL,7861028800026.0000.0000,ALMOHADA FIRME 35X35cm,4.1339,0,0
COMERCIAL,7861028800033.0000.0000,ALMOHADA FIRME 40X40cm,6.1696,0,0
COMERCIAL,7861028800040.0000.0000,ALMOHADA FIRME 70X70cm,17.8393,0,0
COMERCIAL,7861028800057.0000.0000,ALMOHADA FIRME 45X45cm,6.3214,0,0
COMERCIAL,7861028800064.0000.0000,ALMOHADA FIRME 50X30cm,5.2857,0,0
COMERCIAL,7861028800071.0000.0000,ALMOHADA FIRME 50X35cm,6.2232,0,0
COMERCIAL,7861028800088.0000.0000,ALMOHADA FIRME 50X50cm,7.9018,0,0
COMERCIAL,7861028800095.0000.0000,ALMOHADA FIRME 60X30cm,6.3304,0,0
COMERCIAL,7861028800101.0000.0000,ALMOHADA FIRME 60X40cm,7.4018,0,0
COMERCIAL,7861028800118.0000.0000,ALMOHADA FIRME 60X60cm,13.1964,0,0
COMERCIAL,7861028800125.0000.0000,ALMOHADA FIRME 70X40cm,8.6696,0,0
COMERCIAL,7861028800132.0000.0000,ALMOHADA FIRME 70X50cm,9.2232,0,0
COMERCIAL,7861028800149.0000.0000,ALMOHADA FIRME 90X50cm,10.9107,0,0
COMERCIAL,7861028800156.0000.0000,ALMOHADA FIRME 45X30cm,2.1607,0,0
COMERCIAL,7861028800309.0000.0000,ALMOHADA PLUMA NATURAL 60X60cm,52,0,0
COMERCIAL,7861028800316.0000.0000,ALMOHADA PLUMA NATURAL 70X50cm,39.3661,0,0
COMERCIAL,7861028800323.0000.0000,ALMOHADA PLUMA NATURAL 90X50cm,50.1518,0,0
COMERCIAL,7861028800415.0000.0000,ALMOHADA SILVER 70X50cm,12.3393,0,0
COMERCIAL,7861028800422.0000.0000,ALMOHADA SILVER 90X50cm,16.5714,0,0
COMERCIAL,7861028800507.0000.0000,ALMOHADA DELUXE 50X50cm,16.1696,0,0
COMERCIAL,7861028800514.0000.0000,ALMOHADA DELUXE 50X35cm,12.7679,0,0
COMERCIAL,7861028800521.0000.0000,ALMOHADA DELUXE 55X50cm,14.9018,0,0
COMERCIAL,7861028800538.0000.0000,ALMOHADA DELUXE 65X45cm,17.0089,0,0
COMERCIAL,7861028800545.0000.0000,ALMOHADA DELUXE 70X50cm,19.7411,0,0
COMERCIAL,7861028800552.0000.0000,ALMOHADA DELUXE 90X50cm,25.5893,0,0
COMERCIAL,7861028800606.0000.0000,ALMOHADA MEMORY FOAM STANDART 70X40X13cm,46.8571,0,0
COMERCIAL,7861028800705.0000.0000,ALMOHADA PLUMA NATURAL 3 CHAMBER 60X60cm,50.9196,0,0
COMERCIAL,7861028800712.0000.0000,ALMOHADA PLUMA NATURAL 3 CHAMBER 70X50cm,39.3304,0,0
COMERCIAL,7861028800729.0000.0000,ALMOHADA PLUMA NATURAL 3 CHAMBER 90X50cm,49.2768,0,0
COMERCIAL,7861028800804.0000.0000,ALMOHADA MEMORY FOAM LUMBAR 33X33X66cm,29.2232,0,0
COMERCIAL,7861028800903.0000.0000,ALMOHADA PECHO DE GANZO 70X50cm,112.8661,0,0
